Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Temperature < ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
56,0.709154482,0.715843493,0.721778662,0.728354745,0.733993608,0.738392585,0.745655275,0.750494146,0.756227695,0.763058223,0.769074705,0.7739912,0.779149496,0.786203624,0.792661698,0.797816925,0.803073961,0.808980212,0.814182938,0.820405993,0.826559442,0.831607887,0.838047423,0.84344085,0.848892499,0.854346128,0.860245519,0.866452611,0.870485939,0.875960896,0.880863949
57,0.721765673,0.728390323,0.734240225,0.740704192,0.746313378,0.750662893,0.757809886,0.762565921,0.768224578,0.774922197,0.780819595,0.785689922,0.790777109,0.79768415,0.803965979,0.808994814,0.814173688,0.819932849,0.824976062,0.831058262,0.837053815,0.8419333,0.848198602,0.853416757,0.858674076,0.863943193,0.869618121,0.875558135,0.879461173,0.88472448,0.889421809
58,0.734036781,0.740588373,0.746346289,0.752691552,0.758262295,0.762556587,0.769579502,0.774247486,0.779823758,0.786381349,0.792153374,0.796969734,0.801978397,0.808730592,0.814831836,0.819729459,0.824822094,0.83042857,0.835309504,0.841243781,0.847075739,0.851783921,0.857868661,0.862909011,0.867969441,0.873051035,0.878500553,0.884175894,0.887944682,0.892995661,0.897487928
59,0.745964102,0.752434381,0.758094061,0.764314585,0.76983846,0.774072101,0.780963199,0.785538352,0.791025232,0.797436362,0.803077344,0.807832356,0.812755591,0.819345982,0.825263081,0.830025313,0.835024235,0.8404732,0.845189776,0.850969889,0.856633379,0.861168666,0.867067499,0.871928277,0.876790184,0.881682141,0.886906232,0.892320165,0.895951577,0.900790447,0.905079102
60,0.757544888,0.763926057,0.769481725,0.775572036,0.78104098,0.785208883,0.791961074,0.796439057,0.801830037,0.808088951,0.813593842,0.818280561,0.823111984,0.82953441,0.835264558,0.839887853,0.844786208,0.850073587,0.854624389,0.860244914,0.865735877,0.870097388,0.875805931,0.880486104,0.885148738,0.889849799,0.894849318,0.900005889,0.903497605,0.908125417,0.912212639
61,0.768777311,0.775062048,0.780508404,0.786463583,0.791869922,0.795967349,0.802574196,0.806951108,0.812240184,0.818341807,0.823706171,0.828318102,0.833051863,0.839300953,0.844842075,0.849323503,0.854115061,0.859237518,0.863621759,0.86907808,0.874393245,0.878580779,0.884095583,0.888594811,0.893058256,0.897567973,0.90234459,0.907248548,0.910599015,0.915017595,0.918906229
62,0.779660429,0.785841893,0.79117412,0.796989796,0.802326264,0.806348834,0.812804549,0.817076925,0.822258606,0.82819853,0.833418537,0.837949649,0.842580434,0.848651595,0.854002316,0.858339549,0.863018711,0.867973623,0.872191116,0.877479403,0.882616266,0.88663026,0.891948777,0.896267378,0.900532501,0.904851192,0.909407326,0.914064044,0.917272444,0.921484326,0.925177819
63,0.790194142,0.796265989,0.801479747,0.807152095,0.812411844,0.816355535,0.822654983,0.826819787,0.831889094,0.83766357,0.842735982,0.847180719,0.85170375,0.857593154,0.862752766,0.866944059,0.871505852,0.876291288,0.88034241,0.885459603,0.890416397,0.894257887,0.899378435,0.903517337,0.907585738,0.911714437,0.916053195,0.920468599,0.923534802,0.927543162,0.931045502
64,0.800379158,0.806335543,0.811426968,0.816952693,0.822129316,0.825990468,0.832129152,0.836183774,0.84113624,0.846742163,0.851664322,0.856017604,0.860428641,0.866133206,0.871101634,0.875145802,0.879585878,0.88420057,0.88808623,0.89303001,0.897805671,0.90147625,0.90639797,0.910358678,0.914232628,0.918173038,0.922298151,0.926478644,0.929403165,0.93321176,0.936527414
65,0.810216948,0.81605253,0.821018228,0.82639456,0.831482093,0.835257407,0.841231464,0.845173707,0.850005377,0.855440265,0.860210077,0.864467305,0.868762638,0.874280006,0.879057777,0.882954172,0.887268794,0.89171211,0.895433709,0.900202472,0.904796609,0.908298385,0.913021201,0.916805742,0.920488136,0.924242571,0.928158333,0.932110726,0.934894678,0.938507782,0.941641635
66,0.819709706,0.825419646,0.830256689,0.835481363,0.8404743,0.844160836,0.849967022,0.853795094,0.858502515,0.863764495,0.86838041,0.872537467,0.87671391,0.882042422,0.886630622,0.890379108,0.894565141,0.89883705,0.90239645,0.906989273,0.91140213,0.914737683,0.919262253,0.922873142,0.926367434,0.929938773,0.933649975,0.93738142,0.940026465,0.943448808,0.946406106
67,0.828860306,0.834440269,0.839146181,0.844217426,0.849110718,0.852705893,0.858341569,0.862054071,0.866634286,0.87172207,0.876183062,0.880236308,0.884291187,0.889429856,0.893830098,0.897431022,0.901485918,0.905586958,0.90898644,0.913403053,0.917635469,0.920807807,0.925135475,0.928575667,0.931885817,0.935277448,0.938789322,0.942307246,0.944815547,0.948052252,0.950838545
68,0.837672257,0.843118407,0.847691157,0.852607677,0.857396739,0.860898321,0.866361435,0.869957345,0.874407883,0.879320744,0.883626289,0.887572556,0.891503698,0.896452177,0.900666562,0.904120728,0.908042507,0.91197375,0.915215979,0.919456723,0.923510097,0.926522613,0.930655361,0.933928207,0.937058627,0.940274394,0.943592549,0.946904596,0.949278766,0.952335296,0.954956382
69,0.846149663,0.851458655,0.855896644,0.860657602,0.865338309,0.868744409,0.874033477,0.87751214,0.881831002,0.886568749,0.890718801,0.894555385,0.898361105,0.903119657,0.907150733,0.91045937,0.914246599,0.918009615,0.921097605,0.925163398,0.929039646,0.931896076,0.935836474,0.93894568,0.941901174,0.944945324,0.948075693,0.951189667,0.95343272,0.956314817,0.958776695
70,0.854297177,0.859466152,0.863768198,0.868373194,0.872941881,0.876250947,0.881365032,0.884726141,0.888911786,0.893474739,0.897469706,0.901194358,0.904873434,0.909442899,0.913293625,0.91645836,0.920110131,0.923706951,0.926644027,0.930536325,0.934237838,0.936942221,0.940693373,0.943642958,0.946428669,0.949305805,0.952254585,0.955178398,0.957293702,0.960007337,0.962316155
71,0.862119959,0.867146531,0.871311855,0.875760909,0.880214364,0.883425172,0.888363859,0.891607441,0.895658772,0.900047732,0.903888449,0.907499361,0.911051025,0.915432782,0.91910649,0.922129316,0.925645219,0.929078297,0.931868059,0.935588817,0.939118425,0.941675058,0.945240553,0.948034807,0.950656167,0.953371196,0.956144798,0.95888642,0.960877646,0.96342897,0.965590981
72,0.869623632,0.874505879,0.878534088,0.882827614,0.887163077,0.890274716,0.895038092,0.898164488,0.902080835,0.906297056,0.909984759,0.91348055,0.916904462,0.921100396,0.924600753,0.927483997,0.930864098,0.934136274,0.936782564,0.940334194,0.94369512,0.946108524,0.949492387,0.952135831,0.954598509,0.957156591,0.959761593,0.962329006,0.964200086,0.966595378,0.968616899
73,0.876814241,0.881550689,0.885441761,0.889580551,0.893795697,0.896807563,0.901396187,0.904406038,0.908187135,0.912232296,0.915768595,0.919148296,0.922444526,0.926456989,0.929787961,0.932534254,0.935779063,0.938893527,0.941400393,0.944785728,0.947981551,0.950256427,0.953463066,0.955960417,0.958270269,0.960676778,0.963119873,0.965521032,0.967276111,0.969521741,0.971409111
74,0.883698213,0.888287822,0.892042085,0.896027282,0.900120216,0.903031997,0.907446877,0.910341101,0.913987073,0.917863245,0.921250096,0.924513135,0.927682136,0.931513913,0.934679725,0.937291973,0.940402419,0.943362674,0.945734339,0.948956589,0.951991201,0.954132402,0.957166559,0.959522692,0.961685718,0.963946191,0.966234147,0.968476943,0.970120339,0.972222722,0.973982269
75,0.890282312,0.894724461,0.898342576,0.902175654,0.906144896,0.908956559,0.913199123,0.915978902,0.919490238,0.923199857,0.926439535,0.929585716,0.932628305,0.936282572,0.939287679,0.941769032,0.944746429,0.947556254,0.949797085,0.952859799,0.955737371,0.957749858,0.960616565,0.962836478,0.964858779,0.966978878,0.969118496,0.971210722,0.972746884,0.974712445,0.976350453
76,0.896573603,0.90086807,0.904351013,0.908033753,0.911878226,0.914590004,0.918662072,0.921328828,0.924706366,0.928252201,0.931347271,0.934376755,0.937294087,0.940774378,0.943623427,0.945977248,0.948823272,0.951486685,0.953601165,0.956508191,0.95923313,0.961121948,0.963826479,0.965915261,0.967802995,0.969788469,0.971786546,0.973735866,0.97516934,0.977004479,0.978527159
77,0.902579412,0.906726358,0.910075398,0.913609865,0.917328879,0.919941256,0.923845013,0.926400394,0.929645293,0.933030417,0.935983708,0.938896994,0.941690538,0.945000707,0.947698505,0.949928344,0.952644998,0.955166225,0.957158921,0.959914371,0.962491285,0.96426153,0.966809355,0.968772157,0.970531506,0.972388152,0.974251446,0.976065371,0.977400761,0.979111823,0.980525286
78,0.908307287,0.912307237,0.915523918,0.918912438,0.922505675,0.925019371,0.928757337,0.931203196,0.93431692,0.937544677,0.940359255,0.943157159,0.945828673,0.948972857,0.951524342,0.953633907,0.956223491,0.958606932,0.960482471,0.963090681,0.965524346,0.967181133,0.969577882,0.971419886,0.973057019,0.97479065,0.976525851,0.978211717,0.979453652,0.981046901,0.982357136
79,0.913764967,0.917618789,0.920704909,0.923950047,0.927417543,0.929833498,0.933408503,0.935746877,0.938731168,0.941805149,0.94448429,0.947167922,0.949719431,0.952702014,0.955112224,0.957105351,0.959570438,0.961820634,0.963583678,0.966049173,0.968344498,0.96989294,0.972144358,0.973870752,0.975391794,0.977008207,0.978621909,0.980186854,0.981339964,0.982821555,0.984034407
80,0.918960342,0.922669227,0.925626819,0.928731355,0.932073481,0.934392844,0.937807995,0.940041091,0.942897948,0.945821959,0.948369122,0.950939868,0.953373634,0.956199215,0.958473261,0.960353894,0.962697292,0.964818896,0.96647412,0.968801582,0.970963577,0.972408757,0.974520669,0.976136624,0.977547629,0.979052578,0.980551251,0.982002202,0.983071087,0.984447046,0.985568202
81,0.923901422,0.927466864,0.930298174,0.933265084,0.936482528,0.938706637,0.941965294,0.94409547,0.946827128,0.94960516,0.952023965,0.95448346,0.956801964,0.959475323,0.96161836,0.963390522,0.965615254,0.967613002,0.969165071,0.971359304,0.973393049,0.974740002,0.97671828,0.978228925,0.979535848,0.980935016,0.98232499,0.983668649,0.984657853,0.98593406,0.986969033
82,0.928596307,0.932020082,0.934727551,0.937559981,0.940653731,0.942784099,0.945889847,0.947919591,0.950528498,0.953164705,0.955458902,0.957809017,0.96001493,0.962540992,0.964558199,0.966225973,0.968335243,0.970213927,0.971667476,0.973733377,0.975643997,0.976897687,0.978748213,0.98015862,0.981367295,0.982666275,0.983953715,0.985196549,0.986110542,0.987292713,0.98824683
83,0.933053154,0.936337297,0.938923542,0.94162479,0.944596112,0.946634412,0.949591034,0.951522951,0.954011746,0.956510412,0.958683867,0.960926678,0.963022841,0.96540665,0.967303205,0.968870707,0.970867877,0.97263232,0.973991938,0.975934467,0.977727104,0.978892408,0.98062105,0.981936208,0.983052331,0.984256602,0.985447499,0.986595727,0.987438885,0.98853256,0.989410952
84,0.937280151,0.940426938,0.942894731,0.945468227,0.948318644,0.950266694,0.953078145,0.954914937,0.957286428,0.95965195,0.961708615,0.963846386,0.965835787,0.968082475,0.969863533,0.971334897,0.973223459,0.974878489,0.976148703,0.977972856,0.979652645,0.980734336,0.982346917,0.983571725,0.984600834,0.985715744,0.986815895,0.98787549,0.988652078,0.98966261,0.990470206
85,0.94128549,0.944297415,0.946649665,0.949098949,0.951830225,0.953689973,0.956360353,0.958104806,0.96036195,0.962598808,0.964542703,0.966577867,0.968463616,0.970578376,0.97224905,0.973628406,0.975411958,0.976962393,0.97814765,0.979858434,0.98143048,0.982433215,0.983935491,0.985074738,0.986022198,0.987052951,0.988067954,0.98904463,0.989758789,0.990691336,0.991432856
86,0.945077342,0.947957096,0.950196831,0.952525535,0.955139652,0.956913161,0.959446695,0.961101662,0.963247544,0.96536028,0.967195471,0.969130608,0.97091592,0.972903979,0.974469325,0.975760781,0.977443004,0.978893622,0.979998283,0.981600692,0.983070051,0.983998357,0.985395994,0.986454349,0.987325341,0.988276984,0.989212223,0.990111443,0.990767177,0.991626692,0.992306646
87,0.94866383,0.951414284,0.953544633,0.955756463,0.958255604,0.959945037,0.962346048,0.963914434,0.965952249,0.967945446,0.969676028,0.971513843,0.973202015,0.975068612,0.976533609,0.977741238,0.979325872,0.980681403,0.981709722,0.983208719,0.984580378,0.985438646,0.9867372,0.987719199,0.988518714,0.989396121,0.990256767,0.991083734,0.991684901,0.992476134,0.993098818
88,0.952053015,0.954677194,0.956701373,0.958800093,0.961186617,0.962794226,0.965067112,0.966551863,0.968484895,0.970363155,0.971993235,0.973736542,0.975330936,0.977081295,0.978450835,0.979578657,0.981069482,0.982334584,0.983290709,0.984691201,0.985970063,0.986762537,0.987967436,0.988877478,0.989610303,0.990418174,0.991209174,0.991968837,0.992519143,0.993246631,0.993816128
89,0.95525287,0.957753939,0.959675229,0.961664642,0.963941072,0.965469181,0.967618399,0.969022484,0.970854089,0.972622016,0.974155694,0.975807396,0.977311418,0.978950732,0.980229606,0.981281577,0.982682393,0.983861642,0.984749598,0.986056422,0.987247292,0.98797806,0.989094592,0.989936928,0.990607646,0.991350495,0.992076572,0.992773629,0.993276621,0.993944692,0.994464872
90,0.958271263,0.960652505,0.962474242,0.964358177,0.966527175,0.96797817,0.97000821,0.971334613,0.973068203,0.974730385,0.976171738,0.977734811,0.979151897,0.980685307,0.98187819,0.982858192,0.984172799,0.985270673,0.986094359,0.987312268,0.988419839,0.989092832,0.990126131,0.990904859,0.991517841,0.992199993,0.992865647,0.993504546,0.993963608,0.994576378,0.995050904
91,0.96111594,0.96338074,0.965106297,0.966888592,0.968952946,0.970329261,0.972244632,0.973496337,0.975135361,0.976696354,0.978049426,0.979526899,0.980860499,0.982293074,0.983404523,0.984316347,0.985548534,0.986569403,0.987332587,0.98846623,0.989495071,0.990114058,0.991069093,0.991788154,0.992347561,0.99297315,0.993582656,0.994167601,0.994585953,0.99514733,0.995579657
92,0.963794514,0.965946339,0.967579112,0.969263603,0.971226205,0.972530311,0.97433552,0.975515504,0.977063436,0.978527747,0.979796531,0.981191476,0.982445035,0.983781762,0.984816201,0.985663545,0.986817068,0.987765184,0.988471496,0.989525412,0.990479961,0.991048547,0.991930113,0.992593287,0.99310307,0.993676034,0.994233443,0.994768403,0.995149098,0.995662783,0.996056165
93,0.966314444,0.968356827,0.969900225,0.971490733,0.973354563,0.974588957,0.976288494,0.977399714,0.978860036,0.980232112,0.981420544,0.982736054,0.983913003,0.985158769,0.986120485,0.986906944,0.987985515,0.988865004,0.989517935,0.99049654,0.991381094,0.991902717,0.992715429,0.993326335,0.993790232,0.994314315,0.994823462,0.995312172,0.995658098,0.996127589,0.996485084
94,0.968683029,0.970619555,0.972076984,0.9735773,0.975345412,0.976512606,0.97811093,0.979156315,0.980532504,0.981816719,0.982928662,0.984167844,0.985271584,0.986431164,0.987324302,0.98805336,0.989060637,0.989875489,0.990478388,0.991385966,0.992204675,0.992682608,0.993430897,0.993992992,0.994414532,0.994893287,0.995357788,0.995803761,0.996117643,0.99654624,0.996870714
95,0.970907397,0.972741684,0.974116536,0.975530414,0.977205918,0.978308431,0.979809954,0.980792396,0.982087914,0.983288556,0.984327794,0.985493751,0.986527645,0.987605693,0.988434251,0.989109277,0.990048846,0.990802916,0.991358987,0.992199684,0.992956546,0.993393897,0.994082004,0.994598581,0.994981091,0.995417878,0.995841139,0.996247672,0.996532074,0.996922882,0.997217019
96,0.972994492,0.974730178,0.976025824,0.977356971,0.978943017,0.979983362,0.981392438,0.982314786,0.983533065,0.98465433,0.98562456,0.986720381,0.98768774,0.988688778,0.989456603,0.990080845,0.990956219,0.991653216,0.992165521,0.992943336,0.993642194,0.994041907,0.994673884,0.995148075,0.995494681,0.995892671,0.996277896,0.996648076,0.996905403,0.997261342,0.997527648
97,0.974951069,0.9765918,0.977811577,0.97906364,0.980563407,0.981544087,0.982865,0.983730051,0.984874485,0.985920465,0.986825287,0.987854036,0.988758113,0.989686524,0.990397311,0.990973896,0.991788499,0.992431986,0.992903443,0.993622227,0.994266766,0.994631626,0.995211331,0.995646108,0.99595974,0.996321922,0.996672115,0.99700883,0.997241335,0.997565141,0.997805952
98,0.976783687,0.978333104,0.979480304,0.980656868,0.98207355,0.982997046,0.984233999,0.985044493,0.986118427,0.987093106,0.98793602,0.988900725,0.989744704,0.990604726,0.991262016,0.991793944,0.992551107,0.993144499,0.993577883,0.994241335,0.994835079,0.995167712,0.995698816,0.996096993,0.996380394,0.996709576,0.997027548,0.997333496,0.997543282,0.997837517,0.998055006
99,0.978498705,0.979960428,0.981038296,0.982142871,0.983479664,0.984348431,0.985505537,0.986264152,0.987270875,0.988178118,0.988962518,0.989866164,0.990653154,0.991448874,0.992056053,0.992546199,0.993249154,0.993795715,0.994193661,0.994805323,0.995351639,0.995654517,0.996140499,0.996504738,0.996760467,0.997059283,0.997347663,0.997625356,0.997814384,0.998081443,0.998277629
100,0.980102273,0.981479897,0.982491618,0.983527637,0.984787725,0.985604184,0.986685461,0.987394807,0.988337543,0.989181095,0.989910263,0.990755783,0.99148881,0.992224161,0.992784464,0.993235571,0.993887446,0.994390291,0.994755296,0.995318555,0.995820647,0.996096095,0.996540248,0.99687306,0.9971035,0.997374416,0.997635654,0.997887435,0.998057527,0.998299642,0.998476397
101,0.981600335,0.982897414,0.983846109,0.984816921,0.986003471,0.986770002,0.98777936,0.988441978,0.989323879,0.99010736,0.990784464,0.991574729,0.992256735,0.992935491,0.993451999,0.993866688,0.994470499,0.994932595,0.99526702,0.995785105,0.996246021,0.996496217,0.996901652,0.9972054,0.997412769,0.997658087,0.997894466,0.998122508,0.998275355,0.998494607,0.998653662
102,0.982998623,0.984218664,0.985107384,0.986016248,0.987132395,0.987851334,0.988792574,0.989410928,0.99023507,0.990961969,0.991590062,0.992327879,0.992961713,0.993587491,0.994063134,0.994443895,0.995002549,0.995426712,0.995732787,0.996208774,0.996631403,0.996858387,0.997228036,0.997504943,0.997691295,0.997913164,0.998126804,0.998333127,0.998470294,0.998668616,0.99881157
103,0.984302657,0.985449111,0.986280831,0.987130913,0.988179753,0.988853387,0.989730194,0.990306672,0.991076047,0.991749724,0.99233174,0.993019843,0.993608258,0.994184516,0.994622075,0.994971274,0.995487562,0.995876465,0.996156289,0.9965931,0.99698018,0.997185857,0.997522476,0.997774628,0.997941866,0.998142283,0.998335151,0.998521626,0.998644558,0.998823746,0.998952074
104,0.985517744,0.986593998,0.987371614,0.988165985,0.989150567,0.989781126,0.990597066,0.991133976,0.991851491,0.992475171,0.993013925,0.993654971,0.994200625,0.994730658,0.995132772,0.995452651,0.995929248,0.996285419,0.99654097,0.996941372,0.99729549,0.997481635,0.997787813,0.998017164,0.998167045,0.998347866,0.998521787,0.998690144,0.998800174,0.99896189,0.999076951
105,0.986648981,0.987658351,0.988384674,0.989126305,0.990049625,0.990639283,0.991397798,0.991897367,0.992565836,0.993142612,0.993640799,0.994237367,0.994742814,0.995229763,0.995598925,0.995891606,0.99633107,0.996656898,0.996890031,0.997256644,0.997580239,0.997748507,0.998026669,0.998235045,0.998369191,0.998532137,0.998688794,0.998840633,0.998938987,0.99908477,0.999187812
106,0.987701252,0.988646978,0.989324735,0.990016494,0.990881486,0.991432357,0.992136764,0.992601137,0.993223282,0.993756111,0.994216307,0.994770891,0.995238587,0.995685432,0.996023999,0.996291484,0.996696257,0.996993994,0.99720645,0.997541748,0.997837117,0.997989044,0.998241458,0.998430564,0.998550466,0.998697129,0.998838078,0.998974876,0.999062678,0.999193951,0.99928612
107,0.988679235,0.989564474,0.990196301,0.990840958,0.991650487,0.992164621,0.992818109,0.993249347,0.993827796,0.994319503,0.994744165,0.995259171,0.995691469,0.996101038,0.996411232,0.996655408,0.997027816,0.997299581,0.997492989,0.997799303,0.998068606,0.998205616,0.998434399,0.998605826,0.998712853,0.998844704,0.998971379,0.999094495,0.999172778,0.999290851,0.999373196
108,0.989587399,0.990415225,0.991003667,0.991603884,0.992360747,0.992840127,0.99344576,0.99384584,0.994383122,0.994836399,0.995227868,0.995705615,0.996104764,0.996479732,0.996763645,0.996986288,0.997328541,0.997576327,0.997752208,0.998031732,0.998276994,0.998400407,0.998607531,0.998762758,0.998858166,0.998976562,0.999090283,0.999200968,0.999270675,0.999376757,0.999450237
109,0.990430013,0.991203408,0.991750918,0.992309256,0.99301617,0.993462715,0.994023426,0.994394242,0.994892788,0.995310197,0.995670696,0.996113415,0.996481563,0.996824458,0.997084057,0.997286832,0.997601027,0.997826701,0.997986477,0.998241271,0.99846439,0.998575424,0.998762724,0.998903125,0.998988064,0.999094253,0.999196232,0.999295636,0.999357629,0.99945283,0.999518323
110,0.991211144,0.991932999,0.992441938,0.992960852,0.993620457,0.994036014,0.994554609,0.994897973,0.995360116,0.995744089,0.99607573,0.996485558,0.996824752,0.997137958,0.997375088,0.997559558,0.997847682,0.998052991,0.998197984,0.998429981,0.99863273,0.998732512,0.998901691,0.999028541,0.99910406,0.99919919,0.999290538,0.999379718,0.999434781,0.999520122,0.999578426
111,0.991934668,0.992607776,0.99308041,0.993562253,0.994177105,0.994563454,0.995042612,0.995360253,0.995788225,0.996141071,0.996445852,0.996824839,0.997137024,0.997422783,0.997639175,0.997806802,0.998070731,0.998257311,0.998388752,0.998599759,0.998783794,0.998873359,0.999025997,0.999140478,0.999207533,0.999292658,0.999374395,0.999454317,0.999503164,0.99957958,0.999631423
112,0.992604266,0.993231326,0.993669826,0.994116848,0.994689418,0.995048269,0.995490544,0.995784109,0.996180046,0.996503947,0.996783762,0.997133864,0.997420888,0.997681307,0.99787858,0.998030729,0.998272234,0.99844161,0.998560642,0.998752349,0.998919213,0.998999515,0.999137073,0.999240277,0.99929974,0.999375824,0.99944888,0.99952043,0.99956371,0.999632058,0.999678102
113,0.993223435,0.993807046,0.994213494,0.994627843,0.995160514,0.995493507,0.995901328,0.996172384,0.996538325,0.996835345,0.997091978,0.997415063,0.997678676,0.997915734,0.998095399,0.998233344,0.998454093,0.998607685,0.99871537,0.998889352,0.999040482,0.999112396,0.999236224,0.999329158,0.99938182,0.999449746,0.999514973,0.99957896,0.99961726,0.999678323,0.999719169
114,0.993795493,0.994338154,0.994714536,0.995098261,0.99559333,0.995902035,0.99627771,0.996527747,0.996865632,0.997137718,0.997372854,0.997670699,0.997912559,0.998128105,0.998291574,0.9984165,0.998618063,0.998757192,0.99885451,0.999012236,0.999148965,0.999213293,0.999324637,0.999408232,0.999454811,0.999515384,0.999573559,0.999630721,0.999664574,0.999719067,0.999755259
115,0.99432358,0.994827692,0.995175905,0.995530956,0.995990628,0.996276546,0.996622264,0.996852696,0.997164371,0.997413358,0.99762858,0.997902877,0.998124546,0.998320311,0.9984689,0.998581909,0.998765756,0.998891651,0.998979511,0.999122345,0.99924591,0.999303388,0.999403394,0.999478506,0.999519651,0.999573606,0.999625435,0.999676447,0.999706332,0.999754909,0.999786939
116,0.994810668,0.995278532,0.995600381,0.995928613,0.996355004,0.996619569,0.996937402,0.997149566,0.997436786,0.997664398,0.997861197,0.99811355,0.998316503,0.998494102,0.998629033,0.998731148,0.99889866,0.999012457,0.999091698,0.999220907,0.999332455,0.999383753,0.999473477,0.999540892,0.999577191,0.999625198,0.999671323,0.999716798,0.99974315,0.999786403,0.999814717
117,0.995259566,0.995693384,0.995990586,0.996293759,0.996688897,0.996933473,0.997225381,0.997420544,0.99768497,0.997892827,0.998072602,0.998304529,0.998490155,0.998651092,0.998773503,0.998865671,0.999018139,0.999120892,0.999192286,0.999309046,0.999409636,0.999455367,0.999535777,0.999596218,0.999628201,0.999670866,0.999711872,0.999752368,0.999775576,0.999814046,0.999839046
118,0.995672921,0.996074798,0.996348985,0.996628768,0.996994591,0.997220478,0.99748831,0.997667666,0.997910873,0.998100493,0.998264553,0.998477494,0.998647097,0.998792771,0.998903716,0.998986814,0.999125444,0.999218128,0.999282387,0.999387784,0.999478395,0.999519117,0.999591101,0.999645229,0.999673374,0.999711251,0.999747666,0.99978369,0.999804106,0.999838283,0.999860331
119,0.996053232,0.996425174,0.996677893,0.996935867,0.997274225,0.997482656,0.997728156,0.997892833,0.998116307,0.998289114,0.998438685,0.998633996,0.9987888,0.998920511,0.999020968,0.999095806,0.999221722,0.999305235,0.999363015,0.999458054,0.999539587,0.99957581,0.999640179,0.999688602,0.999713338,0.999746926,0.99977923,0.999811242,0.99982918,0.999859509,0.999878931
120,0.996402849,0.996746769,0.996979485,0.997217144,0.997529799,0.997721944,0.997946754,0.998097813,0.998302959,0.998460281,0.99859651,0.998775469,0.998916621,0.999035575,0.999126449,0.999193774,0.999308022,0.999383195,0.999435095,0.999520704,0.999593991,0.999626175,0.999683673,0.999726944,0.999748656,0.999778408,0.999807035,0.999835451,0.999851194,0.999878079,0.999895167
121,0.996723983,0.997041701,0.997255798,0.997474552,0.997763183,0.997940151,0.998145811,0.998284251,0.998472392,0.998615471,0.998739425,0.998903239,0.999031812,0.999139124,0.99922125,0.99928175,0.999385305,0.999452899,0.999499473,0.999576506,0.99964231,0.999670873,0.999722177,0.999760803,0.999779837,0.999806162,0.999831504,0.999856701,0.999870502,0.999894306,0.999909324
122,0.997018711,0.997311952,0.997508739,0.997709919,0.997976118,0.998138958,0.998326916,0.998453674,0.998626056,0.998756048,0.998868723,0.999018524,0.99913552,0.999232223,0.999306372,0.99936068,0.999454446,0.999515163,0.999556914,0.999626158,0.999685179,0.999710502,0.99975623,0.999790672,0.999807338,0.999830605,0.999853014,0.999875333,0.999887418,0.99990847,0.999921653
123,0.99728898,0.997559384,0.997740093,0.997924952,0.998170231,0.998319932,0.998491545,0.998607501,0.998765293,0.998883274,0.998985598,0.999122447,0.999228802,0.999315848,0.999382732,0.999431427,0.999516243,0.999570726,0.999608117,0.999670295,0.999723176,0.999745601,0.999786315,0.999816993,0.999831567,0.999852109,0.999871904,0.999891653,0.999902222,0.999920821,0.999932379
124,0.997536615,0.997785733,0.997951525,0.998121243,0.998347032,0.99848453,0.998641066,0.998747043,0.998891344,0.998998315,0.999091148,0.999216043,0.999312626,0.999390892,0.999451166,0.999494782,0.999571424,0.999620262,0.999653716,0.99970949,0.99975682,0.999776656,0.999812868,0.999840163,0.999852892,0.999871009,0.999888477,0.999905932,0.999915166,0.999931577,0.9999417
125,0.997763325,0.997992624,0.998144592,0.998300275,0.998507929,0.998634101,0.998776748,0.998873516,0.999005355,0.999102246,0.999186387,0.999300258,0.999387879,0.999458174,0.99951244,0.999551465,0.999620649,0.999664384,0.999694285,0.999744262,0.999786579,0.999804107,0.999836279,0.999860538,0.999871642,0.999887602,0.999903001,0.999918412,0.99992647,0.999940936,0.99994979
126,0.997970709,0.998181573,0.998320743,0.998463431,0.998654227,0.998769901,0.998899764,0.998988045,0.999108383,0.999196055,0.999272245,0.999375964,0.999455375,0.999518441,0.999567252,0.99960213,0.99966452,0.999703644,0.999730344,0.999775081,0.999812876,0.999828347,0.9998569,0.999878437,0.999888112,0.999902157,0.999915716,0.999929309,0.999936333,0.999949069,0.999956805
127,0.998160256,0.998353994,0.998481326,0.998611993,0.998787136,0.998893091,0.999011202,0.999091665,0.999201404,0.999280654,0.999349578,0.999443957,0.999515856,0.999572374,0.999616237,0.999647376,0.999703582,0.999738546,0.999762363,0.999802369,0.999836089,0.999849729,0.999875043,0.999894144,0.999902563,0.999914909,0.999926837,0.999938812,0.999944928,0.999956128,0.99996288
