Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Temperature < ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
13,0.064957485,0.066113446,0.067522946,0.069363868,0.06982946,0.07057283,0.072254202,0.073476171,0.07445844,0.076301539,0.077881073,0.078241993,0.078880368,0.080623978,0.083034672,0.084524058,0.084938338,0.086544783,0.088646211,0.089884584,0.091514631,0.09354058,0.094963144,0.097083956,0.099021847,0.100858656,0.103534678,0.107524296,0.107950114,0.110188601,0.112696183
14,0.07490633,0.07623444,0.077831437,0.079905276,0.080474286,0.081332833,0.083245202,0.084630507,0.085767677,0.087854212,0.089647076,0.090102919,0.090866195,0.092854447,0.095562285,0.097253458,0.097782432,0.099616141,0.10197633,0.103419953,0.105287979,0.107572126,0.109230432,0.111624326,0.11383286,0.115928799,0.118945757,0.12338957,0.123946438,0.126497021,0.129321451
15,0.085469835,0.086978824,0.08876968,0.091082414,0.091764704,0.092744733,0.094896861,0.096450962,0.097751744,0.100089363,0.102102842,0.10266372,0.103561851,0.105804444,0.10881491,0.110714614,0.111370655,0.113440434,0.116063848,0.11772475,0.119840772,0.122388685,0.124296215,0.12696933,0.129457651,0.131821948,0.13518648,0.14008468,0.140786829,0.143658761,0.146805255
16,0.09662413,0.0983219,0.10031198,0.102868282,0.103673315,0.104780553,0.107179944,0.10890738,0.110379678,0.112974624,0.115214755,0.115890358,0.116932652,0.119437865,0.122754514,0.124868241,0.125663125,0.127976336,0.130865688,0.132754615,0.135127092,0.137942529,0.140111183,0.143067709,0.145842993,0.148483016,0.152199194,0.157548437,0.158409119,0.161609109,0.165080355
17,0.108344266,0.110237862,0.112431534,0.115234789,0.116171559,0.117411124,0.120064008,0.121968394,0.123619261,0.126476379,0.128947945,0.129747455,0.130942498,0.133717159,0.137341668,0.139673644,0.140618436,0.143180969,0.146337266,0.1484636,0.151099391,0.154184321,0.156624323,0.159866528,0.162933947,0.165855175,0.169924537,0.175718123,0.176749451,0.180281653,0.184077863
18,0.120604308,0.122699885,0.125100522,0.128152859,0.129229823,0.1306062,0.133517524,0.135601558,0.137437154,0.140559899,0.143266425,0.144198438,0.145554027,0.148603496,0.152535713,0.155088902,0.156193852,0.159010109,0.162432697,0.164804389,0.167708726,0.171063364,0.173783185,0.17731145,0.180674166,0.183880167,0.188301775,0.194529845,0.195742648,0.199608678,0.203727654
19,0.133377422,0.13568023,0.138290216,0.141592533,0.142817548,0.14433457,0.147507999,0.149773464,0.151799032,0.155189478,0.158133241,0.159205699,0.160728785,0.16405694,0.168294948,0.171071051,0.172345504,0.175418392,0.179105018,0.181728537,0.184905009,0.18852786,0.191534161,0.195347023,0.199006193,0.202498625,0.207269138,0.21391888,0.215322582,0.21952156,0.223958776
20,0.146635974,0.149150337,0.151971079,0.155523076,0.156903349,0.158564181,0.1620021,0.164449877,0.166669717,0.170328581,0.17351062,0.174730748,0.176427387,0.180036625,0.184576808,0.18757628,0.189028597,0.192359531,0.196306401,0.199186698,0.202637252,0.206525165,0.209822754,0.213916972,0.217871766,0.221650394,0.226764148,0.233820019,0.235422546,0.239951155,0.244699858
21,0.160351626,0.163080931,0.166112875,0.169913091,0.171455128,0.173262257,0.176965779,0.179595867,0.182013318,0.185939983,0.18936012,0.190734374,0.192609688,0.19650093,0.201338047,0.204560115,0.206197609,0.209786526,0.213988383,0.217128865,0.220853815,0.225002043,0.228593855,0.232964475,0.237212118,0.24127484,0.246723961,0.254167919,0.255975614,0.260828188,0.265879513
22,0.174495435,0.177442125,0.180684771,0.184730625,0.186440193,0.18839542,0.192364409,0.195175937,0.197793369,0.201985917,0.205642782,0.207176807,0.209234951,0.213407657,0.218534926,0.221977615,0.223806497,0.227651882,0.232102075,0.235504599,0.239502649,0.243904925,0.247792017,0.252432453,0.256968273,0.261311172,0.267085683,0.274897424,0.276914999,0.282083624,0.287426727
23,0.18903795,0.192203524,0.195655453,0.199943286,0.201825377,0.203929814,0.208162905,0.211154159,0.21397297,0.218428221,0.222319281,0.224017872,0.226262013,0.23071421,0.236123389,0.239783562,0.241808895,0.245907812,0.250598389,0.254263259,0.258531539,0.263180155,0.267361718,0.272263843,0.277081341,0.281698738,0.287786694,0.295943902,0.298174399,0.303649032,0.30927123
24,0.203949315,0.20733433,0.210993226,0.215518351,0.217577153,0.21983123,0.224325855,0.227494306,0.230514925,0.235228478,0.239350079,0.241217152,0.243649456,0.248377766,0.254059251,0.257932643,0.260158316,0.264506453,0.269428241,0.27335423,0.277888341,0.282774237,0.287247625,0.292401863,0.297492796,0.302377326,0.308764953,0.317243547,0.319688326,0.325456936,0.331343861
25,0.219199365,0.222803447,0.22666613,0.23142288,0.233661759,0.236065224,0.24081765,0.244159982,0.247381877,0.252348162,0.256695568,0.258734141,0.261355767,0.266355449,0.272298371,0.276379638,0.278808345,0.283400064,0.288542768,0.292727142,0.297521214,0.302634071,0.307394843,0.312790281,0.31814475,0.323287445,0.329959291,0.33873368,0.341392426,0.347441142,0.353576901
26,0.234757729,0.238579584,0.242642041,0.247623825,0.250045305,0.252597237,0.257602607,0.261114754,0.264536447,0.269748777,0.27431622,0.276528402,0.279339499,0.2846045,0.290796822,0.295079598,0.297712829,0.302541227,0.307893524,0.312332083,0.317378838,0.322707181,0.327749163,0.333373655,0.338980215,0.344370602,0.351309695,0.360353029,0.363223775,0.369537048,0.375904395
27,0.250593924,0.254631361,0.258888781,0.264088139,0.266693894,0.269392718,0.274645094,0.278322274,0.281941366,0.287391995,0.292172728,0.294559708,0.297559433,0.303082442,0.309511065,0.313988016,0.316826058,0.321883033,0.327432676,0.332119804,0.337410631,0.342941937,0.348257288,0.354097576,0.359943349,0.365569553,0.372757565,0.382041988,0.385121158,0.391681932,0.398262441
28,0.266677457,0.270927402,0.27537422,0.280782882,0.283573735,0.286417235,0.29190965,0.295746409,0.299559598,0.305239788,0.310226141,0.312788195,0.315974722,0.321747232,0.328398107,0.333060993,0.336102945,0.34137927,0.347113187,0.352041912,0.357566953,0.363287756,0.368867058,0.374908888,0.380979687,0.386828548,0.394245968,0.40374286,0.407025329,0.413815222,0.420589463
29,0.282977912,0.287436445,0.292066378,0.297675325,0.300651247,0.303636593,0.309361104,0.313351354,0.317354474,0.323254558,0.328438,0.331174496,0.334545046,0.340557421,0.347415652,0.352255398,0.355499193,0.360984594,0.366888996,0.372051059,0.377799294,0.383695302,0.389527651,0.3957559,0.402036357,0.40809355,0.415719857,0.425400077,0.428879245,0.435878731,0.442826452
30,0.299465049,0.304127429,0.308933525,0.314733051,0.317893171,0.321016937,0.326964683,0.331101751,0.335289806,0.341399258,0.346770461,0.349679876,0.353230742,0.359472296,0.366522253,0.371529018,0.374971451,0.380654694,0.386715177,0.39210111,0.398060455,0.404116664,0.410189778,0.416588577,0.423062283,0.429312446,0.437126283,0.446960401,0.450628279,0.457816876,0.464917179
31,0.316108891,0.320969591,0.325944273,0.331924051,0.335266668,0.338524863,0.344686129,0.3489628,0.353330001,0.359637514,0.365186419,0.368266359,0.371992947,0.378452016,0.385677448,0.390840698,0.394477467,0.400346447,0.406548099,0.412147308,0.418304716,0.424505525,0.430805854,0.437358714,0.444008361,0.450435229,0.458414578,0.468373097,0.472220408,0.479576863,0.486808386
32,0.332879812,0.337932558,0.343067675,0.349216817,0.352739419,0.356127513,0.362491796,0.366900364,0.371440176,0.377933731,0.38364962,0.386896847,0.390793714,0.397457746,0.404841886,0.410150471,0.413976226,0.420018058,0.426345563,0.432146422,0.438487983,0.444817316,0.451330164,0.458020101,0.464827622,0.47141416,0.479536518,0.489590087,0.493606374,0.501108855,0.508449937
33,0.349748616,0.354986429,0.360273302,0.366580431,0.370279717,0.373792676,0.380348749,0.384881066,0.389586255,0.396253203,0.402124768,0.405535233,0.409596135,0.416451771,0.423977451,0.429419684,0.433428077,0.439629191,0.446066935,0.452056879,0.458567933,0.465009349,0.471719002,0.47852866,0.485475378,0.492203922,0.500446468,0.510566079,0.514739826,0.5223661,0.529794959
34,0.366686622,0.372101861,0.377531338,0.383984647,0.387856557,0.391488876,0.398224861,0.402872386,0.407735068,0.414562207,0.420577624,0.424146505,0.428364448,0.435397615,0.44304737,0.448611104,0.452794854,0.459141093,0.465673261,0.471838888,0.478504131,0.48504094,0.491930795,0.498842572,0.505909345,0.512761736,0.5211015,0.531258675,0.535577429,0.543305046,0.550799933
35,0.383665737,0.389250144,0.39481265,0.401399974,0.405439717,0.409185455,0.416088894,0.420842746,0.425854444,0.432828096,0.438975099,0.44269684,0.447064134,0.454260135,0.462016311,0.467689021,0.472039976,0.478516694,0.485127372,0.491454547,0.498258142,0.504873518,0.511926217,0.518922378,0.526089744,0.533047467,0.541461488,0.551628453,0.556078957,0.563885421,0.571424778
