1,1.03993E-07,3.39331E-07,1.22685E-06,3.08196E-07,3.71943E-07,9.91989E-07,6.33739E-07,1.70107E-07,1.22772E-06,5.85374E-07,1.18883E-06,1.03476E-06,2.62203E-07,5.83053E-07,4.08302E-07,1.63097E-07,3.30215E-07,3.79781E-07,6.09139E-07,8.92427E-07,1.04495E-06,1.01486E-06,1.38512E-06,1.06244E-06,8.85356E-07,7.64673E-07,1.67617E-07,1.06789E-06,7.83083E-07,1.38907E-06,1.44932E-06
11,0.000119515,0.000261401,0.00059372,0.000263645,0.000306561,0.000595835,0.000458204,0.000215839,0.000733321,0.000481508,0.000764693,0.000730675,0.000329263,0.000547981,0.000456624,0.000264407,0.000424102,0.000472552,0.000646938,0.000830024,0.000936595,0.000948377,0.001154362,0.00101959,0.000942414,0.000704121,0.000370223,0.001140971,0.000960218,0.001396586,0.00146097
12,0.000154336,0.000332691,0.000742978,0.000336826,0.000391124,0.00075149,0.000581814,0.000279725,0.000924691,0.000614271,0.000966841,0.000926965,0.000426553,0.000702454,0.000589056,0.000345726,0.000549856,0.000611966,0.000832983,0.001063565,0.001198497,0.001215409,0.001473226,0.001307922,0.001213484,0.000901923,0.000489539,0.001469316,0.001242766,0.001794473,0.001877362
13,0.000195262,0.000415321,0.000913193,0.000421955,0.000489366,0.000930336,0.000724763,0.000355066,0.001144524,0.000768493,0.00119965,0.001153763,0.000541244,0.000882723,0.000744541,0.000442444,0.000698215,0.000776255,0.001051011,0.001335983,0.001503597,0.001526935,0.001843727,0.0016446,0.001531153,0.001132582,0.000632977,0.001854132,0.001575512,0.002259775,0.00236434
14,0.000242768,0.000510011,0.001105349,0.000519837,0.000602189,0.001133638,0.000888233,0.000442796,0.00139436,0.000945582,0.001464858,0.001412898,0.000674745,0.001090603,0.000924847,0.000555951,0.000871022,0.000967422,0.00130341,0.001649991,0.001854849,0.001886061,0.002269249,0.002033042,0.001898888,0.001398381,0.000802981,0.00229962,0.001962444,0.002797347,0.002926989
15,0.000297328,0.000617467,0.001320395,0.000631264,0.00073048,0.001362622,0.001073381,0.000543845,0.001675697,0.001146923,0.001764162,0.001706163,0.000828458,0.001327884,0.001131729,0.000687643,0.001070119,0.00118746,0.001592544,0.00200826,0.002255153,0.002295846,0.00275311,0.002476615,0.002320123,0.00170157,0.001002035,0.002809933,0.002407528,0.003411972,0.003570318
16,0.000359412,0.000738386,0.001559249,0.000757014,0.00087511,0.001618485,0.001281339,0.000659141,0.001989994,0.001373879,0.002099211,0.002035307,0.001003784,0.001596334,0.001366927,0.000838925,0.00129734,0.001438354,0.001920753,0.002413422,0.00270737,0.002759303,0.003298568,0.002978639,0.002798249,0.002044368,0.001232655,0.003389177,0.002914702,0.004108365,0.004299264
17,0.00042949,0.00087345,0.001822802,0.000897858,0.001036941,0.001902394,0.001513222,0.00078961,0.00233867,0.001627791,0.00247162,0.002402044,0.001202118,0.001897699,0.001632171,0.001011206,0.001554516,0.001722081,0.002290356,0.002868073,0.003214309,0.003279402,0.003908816,0.003542386,0.003336625,0.002428962,0.001497387,0.004041406,0.003487875,0.004891168,0.005118688
18,0.000508028,0.001023331,0.002111917,0.001054556,0.001216818,0.002215487,0.001770118,0.000936176,0.002723108,0.001909978,0.002882962,0.002808051,0.001424848,0.002233704,0.001929177,0.001205899,0.001843469,0.00204061,0.00270365,0.003374772,0.00377874,0.00385907,0.004586988,0.004171082,0.003938569,0.00285751,0.001798807,0.004770627,0.004130928,0.005764954,0.006033374
19,0.000595491,0.001188694,0.002427432,0.001227856,0.00141558,0.002558875,0.002053102,0.00109976,0.00314466,0.002221741,0.003334776,0.003254972,0.001673361,0.002606052,0.00225965,0.001424424,0.002166014,0.002395899,0.003162908,0.003936043,0.004403387,0.004501189,0.005336158,0.004867904,0.004607361,0.003332141,0.002139515,0.005580792,0.004847707,0.00673422,0.007048028
20,0.000692341,0.00137019,0.002770164,0.001418501,0.00163405,0.002933645,0.002363225,0.001281281,0.003604645,0.002564363,0.003828568,0.003744418,0.001949035,0.003016427,0.002625281,0.001668202,0.002523963,0.002789897,0.003670382,0.004554371,0.005090931,0.005208599,0.006159343,0.005635983,0.005346242,0.003854955,0.002522135,0.006475804,0.005642023,0.007803389,0.008167272
