DesignTemperature =~ ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
shape parameter = ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scale parameter = ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9.87868E-08,2.41593E-07,6.65066E-07,2.59427E-07,2.30815E-07,5.27781E-07,3.39791E-07,1.30542E-07,6.50644E-07,3.06961E-07,6.64937E-07,5.5591E-07,1.88358E-07,3.02912E-07,2.44629E-07,1.86627E-07,2.30974E-07,2.14065E-07,3.46343E-07,5.94429E-07,8.65719E-07,5.77473E-07,7.71224E-07,6.46526E-07,6.11987E-07,6.6283E-07,2.88485E-07,7.51768E-07,4.92295E-07,1.24827E-06,1.13396E-06
12,0.000128579,0.000233687,0.000428894,0.000262126,0.000252528,0.000423487,0.000331835,0.000204516,0.000520291,0.000340378,0.000577006,0.00052948,0.000301542,0.000384461,0.000369827,0.000309627,0.000379436,0.000365398,0.000501619,0.000720602,0.00091405,0.000733726,0.000876714,0.00083365,0.00084074,0.00076745,0.000517152,0.001022806,0.000807394,0.001406375,0.001378168
13,0.000162048,0.000291605,0.000528552,0.000327603,0.000316395,0.000525594,0.000414472,0.000259217,0.000645714,0.00042692,0.000717801,0.000660765,0.00038243,0.000484335,0.000468232,0.00039352,0.000481612,0.000464529,0.000634312,0.000905703,0.001143931,0.000923896,0.001100156,0.00104999,0.001060936,0.000963163,0.000659876,0.001290258,0.001024746,0.00176412,0.001732388
14,0.000200759,0.000357949,0.000641369,0.000402722,0.000389841,0.000641973,0.000509239,0.000322825,0.000788666,0.000526565,0.000878619,0.000811189,0.00047654,0.000599819,0.000582539,0.000491352,0.000600581,0.000580141,0.000788268,0.001119189,0.001407984,0.001143636,0.001357499,0.001300011,0.001315868,0.001188573,0.000827015,0.001599792,0.001277786,0.00217595,0.002140943
15,0.00024507,0.000433212,0.000767958,0.000488061,0.000473464,0.000773387,0.000616859,0.000395996,0.000950082,0.00064015,0.00106057,0.000981873,0.000584853,0.000731979,0.0007139,0.000604197,0.0007376,0.000713497,0.000965004,0.001362904,0.001708286,0.001394925,0.001650898,0.001585968,0.001607926,0.001445565,0.001020567,0.001954285,0.001569172,0.002645261,0.002607347
16,0.000295338,0.000517874,0.000908913,0.000584189,0.000567851,0.000920581,0.000738047,0.000479384,0.001130877,0.000768504,0.001264737,0.001173919,0.000708346,0.000881869,0.000863462,0.000733129,0.000893926,0.000865862,0.001166027,0.001638667,0.002046878,0.00167972,0.001982478,0.001910092,0.001939476,0.001736001,0.001242543,0.002356578,0.00190155,0.003175398,0.003135059
17,0.000351914,0.000612411,0.001064815,0.000691666,0.000673583,0.001084284,0.000873502,0.000573642,0.001331946,0.000912442,0.001492186,0.001388411,0.000847994,0.001050538,0.001032369,0.000879221,0.001070808,0.001038498,0.001392832,0.001948273,0.002425766,0.001999956,0.00235433,0.002274584,0.002312858,0.002061714,0.00149496,0.002809482,0.002277554,0.003769645,0.003727484
18,0.000415151,0.00071729,0.001236225,0.000811042,0.000791233,0.001265213,0.001023917,0.000679418,0.001554167,0.001072772,0.001743957,0.001626414,0.001004769,0.001239024,0.001221754,0.001043544,0.001269493,0.001232663,0.001646908,0.002293495,0.002846923,0.002357548,0.002768519,0.002681623,0.002730389,0.002424514,0.001779843,0.003315774,0.002699799,0.004431234,0.004387974
19,0.000485395,0.00083297,0.001423697,0.000942863,0.000921367,0.001464068,0.001189974,0.000797362,0.001798399,0.001250295,0.002021075,0.001888977,0.001179637,0.001448357,0.001432749,0.001227172,0.001491222,0.001449616,0.00192973,0.002676082,0.003312291,0.002754385,0.003227077,0.003133359,0.003194363,0.002826186,0.002099225,0.003878201,0.003170887,0.005163338,0.005119827
20,0.000562993,0.000959905,0.001627765,0.001087665,0.001064545,0.001681538,0.001372345,0.000928119,0.002065485,0.0014458,0.002324542,0.002177131,0.001373562,0.001679561,0.001666477,0.001431174,0.001737235,0.00169061,0.002242764,0.003097763,0.003823778,0.003192337,0.003732006,0.003631917,0.003707046,0.003268492,0.002455141,0.004499474,0.003693399,0.005969078,0.005926284
21,0.00064829,0.001098542,0.001848957,0.001245978,0.001221321,0.001918299,0.001571694,0.001072331,0.002356254,0.00166007,0.002655346,0.002491894,0.001587505,0.001933649,0.001924055,0.001656621,0.002008762,0.001956896,0.002587467,0.003560242,0.004383261,0.003673252,0.004285279,0.004179395,0.004270683,0.003753169,0.002849632,0.00518227,0.0042699,0.006851514,0.00681053
