Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Temperature < ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
shape parameter = ,1.9943,1.993,1.987,1.9859,1.9909,1.9982,1.9899,1.9905,1.9987,1.9859,1.9831,1.9965,2.0071,1.991,1.9897,1.982,1.994,1.9925,1.989,1.9947,1.9993,1.9937,1.9964,1.9993,1.9909,1.9851,1.9822,1.9839,1.9792,1.9921,1.9904
scale parameter = ,51.366,51.013,50.641,50.247,49.89,49.741,49.242,48.95,48.717,48.121,47.789,47.565,47.43,46.736,46.382,46.018,45.816,45.466,45.122,44.767,44.364,44.05,43.684,43.319,42.993,42.554,42.14,41.751,41.446,41.248,40.851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
13,0.062516382,0.063463113,0.064874754,0.065949996,0.066425482,0.066179459,0.068203693,0.068934087,0.068845327,0.071645459,0.072855618,0.072292113,0.071734145,0.075283558,0.076508321,0.078398047,0.077918148,0.079212589,0.08070679,0.081379557,0.082351279,0.084026215,0.085106982,0.086192625,0.088287997,0.090618269,0.0926098,0.094066696,0.095872428,0.095380006,0.097322022
14,0.072106259,0.073185678,0.074772838,0.07599941,0.07657159,0.076329212,0.078604206,0.079444544,0.0793891,0.082523747,0.083892549,0.083326738,0.082749673,0.086719295,0.088112977,0.090225967,0.089753342,0.09122483,0.092911026,0.093717911,0.094859959,0.096737485,0.097991443,0.099252586,0.101587498,0.104205923,0.106456593,0.108130917,0.110153665,0.109691283,0.111892977
15,0.082293132,0.083510901,0.085277743,0.086662143,0.087339511,0.087106576,0.089637942,0.090593912,0.090579914,0.094054347,0.095586695,0.095029683,0.094441498,0.098836907,0.100405874,0.102745003,0.10229073,0.103945606,0.105828792,0.106780779,0.108104693,0.110187907,0.111624788,0.113071437,0.115647061,0.118558855,0.121075358,0.122976885,0.125219397,0.124802112,0.127270928
16,0.093054841,0.09441598,0.096365711,0.097913692,0.098704381,0.098486829,0.101278764,0.102355513,0.102391103,0.106208605,0.107908513,0.107371696,0.1067807,0.111604868,0.11335453,0.115921278,0.115496623,0.117340186,0.119424178,0.120531571,0.122047966,0.124338638,0.125967162,0.127608284,0.130424139,0.13363258,0.136419875,0.13855696,0.141020461,0.140663288,0.143404857
17,0.104368208,0.105877082,0.108011973,0.109728527,0.110640254,0.110444105,0.113499422,0.114701539,0.114794788,0.118956719,0.120827319,0.120322249,0.119736985,0.124990371,0.126925168,0.129719669,0.129335954,0.131372455,0.133659906,0.134932242,0.136650724,0.139149335,0.14097715,0.142820612,0.145874637,0.149381107,0.152442431,0.154821961,0.157506205,0.157223922,0.160242062
18,0.116209115,0.117869425,0.120190838,0.122080187,0.123120197,0.122951491,0.126271653,0.127603148,0.127761981,0.132267853,0.1343114,0.133849665,0.133278807,0.138959462,0.141082859,0.144103955,0.143772435,0.146005071,0.148497481,0.149943457,0.151872556,0.154578339,0.156611975,0.158664489,0.161953126,0.165757163,0.169094054,0.171721414,0.174624734,0.174431705,0.177728427
19,0.128552586,0.130367368,0.132875777,0.134941365,0.136116387,0.135981125,0.139566288,0.141030574,0.141262701,0.14611025,0.148328134,0.147921237,0.147373506,0.153477172,0.155791658,0.159036958,0.158768706,0.161199621,0.163897364,0.165524766,0.167671877,0.170582866,0.172827692,0.175094775,0.178613057,0.182712415,0.18632474,0.189203791,0.192323158,0.192233172,0.195808708
20,0.141372877,0.143344493,0.146039513,0.148284005,0.149600205,0.149504299,0.153353352,0.154953238,0.155266087,0.160451351,0.162844111,0.162503366,0.161987437,0.168507664,0.171014756,0.174480692,0.17428649,0.176916783,0.179819136,0.181634785,0.184006115,0.187119199,0.189579398,0.192065341,0.195806976,0.20019769,0.204083686,0.207216759,0.210547848,0.210573972,0.214426805
21,0.154643554,0.156773698,0.159654116,0.162079394,0.163542343,0.163491566,0.167602174,0.169339853,0.169740512,0.175257915,0.177825256,0.177561687,0.177086113,0.184014369,0.186714621,0.190396513,0.190286758,0.193116496,0.196221665,0.19823137,0.200831906,0.20414288,0.206821429,0.209529274,0.213486741,0.218163204,0.222319531,0.225707425,0.229244685,0.229399133,0.233526047
22,0.168337591,0.170627289,0.17369109,0.176298262,0.1779129,0.177912838,0.182281497,0.184158543,0.184653707,0.19049614,0.193236955,0.193061202,0.192634335,0.199960133,0.202853149,0.206745272,0.206729881,0.209758118,0.213063281,0.215271799,0.218105275,0.221608906,0.224507564,0.227439096,0.23160374,0.236558784,0.24098058,0.244622582,0.248359312,0.248653331,0.253049466
23,0.182427451,0.18487707,0.188121474,0.190910878,0.19268149,0.192737502,0.197359586,0.199376951,0.199972871,0.206131785,0.209044179,0.208966416,0.20859634,0.216307357,0.219391812,0.223487463,0.223575793,0.226800596,0.230301939,0.23271295,0.235781835,0.239471918,0.24259123,0.245746977,0.250109103,0.255334091,0.260015041,0.263908949,0.267837379,0.268281148,0.272940069
24,0.196885183,0.199494437,0.202915934,0.20588715,0.20781734,0.20793452,0.212804337,0.214962358,0.215664798,0.222130293,0.225211611,0.225241465,0.224935931,0.233018141,0.236291805,0.240583371,0.240784151,0.244202627,0.247895394,0.250511479,0.253816965,0.257686397,0.261025699,0.264404937,0.268953917,0.274438837,0.279371246,0.283513409,0.287624783,0.288227331,0.293141106
25,0.211682506,0.214450471,0.218044857,0.221196721,0.223289398,0.223472537,0.22858339,0.230881789,0.231695988,0.238456912,0.241703766,0.241850251,0.241616618,0.250054427,0.253514192,0.257993226,0.258314487,0.261922816,0.265801359,0.268623991,0.272165999,0.276206845,0.279764286,0.283365061,0.288089429,0.293822996,0.298997871,0.303383237,0.3076679,0.308437037,0.313596323
26,0.226790905,0.229716031,0.233478447,0.23680907,0.239066433,0.23931999,0.244664235,0.247102132,0.248032771,0.255076811,0.258485121,0.258756573,0.258601755,0.267378133,0.271020048,0.275677341,0.276126363,0.279919842,0.28397767,0.287007216,0.290784407,0.294987972,0.298760537,0.302579692,0.30746725,0.31343701,0.31884415,0.323466318,0.327913811,0.328856074,0.334250213
27,0.242181712,0.245261843,0.249186816,0.252693603,0.255117135,0.25544521,0.26101432,0.263590243,0.264641416,0.271955202,0.275520225,0.275924253,0.275854673,0.284951294,0.2887706,0.293596258,0.294179522,0.298152606,0.302382445,0.30561817,0.309627966,0.313984871,0.317968415,0.322001624,0.327039546,0.333231987,0.338860074,0.343711366,0.348310512,0.349431133,0.355048251
28,0.257826203,0.261058594,0.265140077,0.268819754,0.271410219,0.271816525,0.277601155,0.280313057,0.28148825,0.289057454,0.292773826,0.293317261,0.29333881,0.302736193,0.306727365,0.311710882,0.312434033,0.31658038,0.320974234,0.324414315,0.328652933,0.333153189,0.337342481,0.341584294,0.346759225,0.353159891,0.358996589,0.364068119,0.368807123,0.370109997,0.375937114
29,0.273695677,0.27707702,0.281308437,0.285157072,0.287914516,0.288402361,0.294392417,0.297237694,0.298539765,0.306349203,0.310210979,0.310899839,0.31101784,0.320695486,0.324852278,0.329982614,0.330850432,0.335162956,0.339712165,0.343353721,0.347816205,0.352449291,0.35683806,0.361281953,0.366580113,0.373173717,0.379205773,0.384487533,0.38935407,0.390841755,0.396864895
30,0.289761546,0.293287991,0.297662278,0.301675316,0.304599073,0.305171344,0.311356046,0.314331558,0.315762726,0.32379646,0.327797155,0.328636615,0.328855795,0.33879233,0.34310782,0.348373478,0.349389853,0.35386078,0.358556087,0.362395202,0.367075476,0.371830412,0.376411404,0.38104984,0.386457121,0.393227661,0.399441012,0.404921953,0.409903269,0.411576986,0.417781297
31,0.305995414,0.309662595,0.314172248,0.318344541,0.321433243,0.322092389,0.328460348,0.331562438,0.333124277,0.341365716,0.345498353,0.34649272,0.346817183,0.356990501,0.361457141,0.366846243,0.368014163,0.372635083,0.377466697,0.381498465,0.386389381,0.391254809,0.396019847,0.400844334,0.406346401,0.413277278,0.419657155,0.425325284,0.430408287,0.432267937,0.438637807
32,0.322369158,0.326172226,0.330809344,0.335135182,0.338386771,0.339134799,0.345674078,0.348898606,0.350592039,0.359024042,0.363281193,0.364433893,0.364867106,0.375254503,0.379864172,0.385364532,0.386686078,0.391448007,0.396405671,0.400624235,0.405717634,0.410681894,0.415621942,0.420623106,0.42620549,0.433279623,0.439810661,0.445653138,0.450824488,0.452868686,0.459387863
33,0.338855006,0.342788653,0.347544984,0.352018134,0.355429884,0.356268348,0.362966539,0.366308902,0.368134204,0.376739181,0.381113015,0.382426584,0.382971365,0.393549674,0.398293733,0.403892933,0.405369279,0.410262719,0.415335777,0.41973438,0.425021159,0.430072359,0.435177594,0.440345254,0.445993443,0.453193386,0.459859732,0.465862966,0.471109167,0.47333528,0.479986996
34,0.35542561,0.359484105,0.364351092,0.368964834,0.372533369,0.373463366,0.380307659,0.383762824,0.385719631,0.394479639,0.39896197,0.400438051,0.401096559,0.411842289,0.416711635,0.422397094,0.424028517,0.429043519,0.434220982,0.438792023,0.444262202,0.4493883,0.454648185,0.459971425,0.465670952,0.472979005,0.479764426,0.485914183,0.491221671,0.493625869,0.500392961
35,0.372054118,0.376231337,0.381200161,0.385947327,0.389668648,0.390690823,0.397668073,0.401230609,0.403317924,0.412214768,0.416797101,0.418436452,0.419210188,0.430099649,0.435084771,0.440843818,0.442629715,0.447755939,0.453026552,0.457761645,0.463404446,0.468593313,0.473996674,0.47946393,0.485200457,0.492598776,0.499486767,0.505768269,0.511123497,0.513700814,0.520565841
36,0.388714239,0.393003699,0.398065328,0.402938343,0.406807855,0.407922399,0.415019196,0.418683304,0.420899516,0.429914841,0.434588422,0.436390926,0.437280736,0.448290167,0.453381205,0.459201146,0.461140051,0.466366832,0.471719143,0.47660918,0.482413101,0.487652597,0.493187701,0.49878684,0.504546235,0.512016944,0.518990828,0.525388864,0.530778379,0.533522783,0.540468146
37,0.405380308,0.409775203,0.414920433,0.419911355,0.423923898,0.425130558,0.432333295,0.436092845,0.438435745,0.447551127,0.452306987,0.454271673,0.455277756,0.466383446,0.471570246,0.477438429,0.479528046,0.484844456,0.490266876,0.495302096,0.501254994,0.506533032,0.512187669,0.517906073,0.523674487,0.531199775,0.538242812,0.544741837,0.55015236,0.553056827,0.560064882
38,0.422027345,0.42652058,0.431740082,0.436840643,0.440990526,0.44228861,0.449583551,0.453432115,0.455898916,0.465095954,0.469924959,0.472050022,0.473171942,0.484350347,0.48962252,0.495526396,0.49776363,0.503158542,0.508639413,0.513809469,0.519898644,0.525203253,0.530964816,0.536789472,0.542553403,0.550115626,0.557211107,0.563795347,0.569213846,0.572270441,0.57932361
39,0.438631109,0.443215337,0.448499697,0.453701349,0.457982382,0.459370775,0.466744117,0.470675004,0.473262371,0.482522768,0.487415665,0.489698494,0.490935201,0.502163049,0.50751003,0.513437214,0.515818209,0.521280356,0.526808012,0.532102044,0.538314324,0.54363371,0.549489278,0.555406859,0.561153218,0.568734993,0.575866334,0.582519891,0.587933643,0.591133611,0.598214487
40,0.455168153,0.459835807,0.46517557,0.470469524,0.474875059,0.476352236,0.483790172,0.487796464,0.490500538,0.499806184,0.504753645,0.507190862,0.508540708,0.519795109,0.52520621,0.531144533,0.533664717,0.539182758,0.544745581,0.550152289,0.556474112,0.561796717,0.567733137,0.573730089,0.579446256,0.587030545,0.594181382,0.600888327,0.606284985,0.609618837,0.616710286
41,0.471615863,0.476359199,0.481744908,0.487122177,0.491645146,0.493209185,0.500697966,0.504772557,0.507588987,0.516922034,0.521914704,0.524502194,0.52596296,0.537221501,0.542685968,0.548623533,0.551277661,0.556840235,0.562426716,0.567934434,0.57435194,0.579666489,0.585670454,0.591733083,0.597406958,0.604977154,0.612131422,0.618875897,0.624243544,0.627701153,0.634786403
42,0.487952508,0.492763634,0.49818587,0.503637312,0.508270269,0.509918871,0.517444865,0.521580491,0.524504469,0.533847404,0.538875939,0.541608899,0.543177824,0.554418657,0.559925725,0.565850951,0.568633158,0.574228945,0.579827736,0.585424506,0.591923615,0.597219172,0.603277302,0.60939185,0.6150119,0.6225519,0.629693916,0.63646022,0.64178742,0.645358117,0.652420853
43,0.504157272,0.509028189,0.514477607,0.519993967,0.524729125,0.526459638,0.534009379,0.538198663,0.541224952,0.550560666,0.555615779,0.558488757,0.560162568,0.571364499,0.576903439,0.58280511,0.58570896,0.591326736,0.596926702,0.602600349,0.609166848,0.614432854,0.620531772,0.626684502,0.632239798,0.639734074,0.646848611,0.653621289,0.658897135,0.662569802,0.669594239
44,0.52021029,0.525132922,0.530600289,0.536172241,0.54100152,0.542810955,0.550371201,0.554606679,0.55772966,0.567041507,0.572114005,0.575120951,0.576895896,0.588038458,0.593598632,0.599465932,0.602484477,0.608113164,0.613703431,0.619441633,0.62606126,0.631287577,0.637413982,0.643591253,0.649071506,0.656505163,0.663577517,0.670341442,0.675555591,0.67931876,0.686289724
45,0.536092676,0.541058908,0.546535135,0.552153318,0.557068385,0.558953443,0.566511223,0.570785386,0.573999086,0.583270943,0.588351768,0.591486084,0.593357967,0.604421487,0.609992395,0.615814949,0.618940783,0.6245695,0.6301395,0.635929862,0.64258838,0.647765326,0.653906066,0.660094407,0.665489993,0.672848829,0.679864879,0.686605328,0.691748039,0.695589984,0.702492971
46,0.551786545,0.556788255,0.562264431,0.567919493,0.572911804,0.574868899,0.582411559,0.586716885,0.590015021,0.59923134,0.6043116,0.607566192,0.609530411,0.620496076,0.6260674,0.6318353,0.635060618,0.640678729,0.646218239,0.652048363,0.658731641,0.663850021,0.669992159,0.676178338,0.681480322,0.688750874,0.695697136,0.702399861,0.707462021,0.711370853,0.718192092
