Design temperature <,40 deg C ambient temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design life =~ ,10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equation= ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg,,,,,,,,,,,,,,
shape parameter = ,1.6977,1.7071,1.7193,1.6958,1.7406,1.7395,1.7249,1.7129,1.7043,1.7285,1.6891,1.6895,1.711,1.7114,1.7098,1.7081,1.7191,1.70,1.7314,1.7466,1.7184,1.7203,1.733,1.715,1.7182,1.7336,1.7129,1.6827,1.748,1.6847,1.7115,,,,,,,,,,,,,,
scale parameter = ,66.623,62.218,58.22,54.722,50.639,47.583,44.046,41.009,38.017,35.769,33.174,31.393,28.975,27.156,25.311,23.512,22.3,20.86,19.383,18.084,16.892,15.776,14.668,13.759,12.787,11.873,11.017,10.303,9.6121,8.959,8.4064,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
12,0.053013301,0.058460321,0.064040608,0.073457884,0.078343168,0.087033372,0.100707059,0.114719663,0.130743903,0.140496893,0.16431238,0.178776381,0.198513827,0.218990799,0.243558115,0.271664197,0.291515594,0.322898175,0.353360987,0.386483532,0.426312934,0.464524004,0.506462024,0.546561647,0.592046124,0.638905725,0.68577791,0.725411397,0.770949614,0.80527308,0.841001375,,,,,,,,,,,,,,
13,0.060491677,0.066728136,0.073135246,0.083678189,0.089515532,0.09936851,0.114729053,0.130430276,0.148364786,0.159590468,0.185748447,0.201867067,0.224127358,0.246823281,0.273900254,0.30471618,0.326633808,0.360401972,0.39393794,0.429848542,0.471444274,0.511691421,0.555687988,0.596375228,0.642561488,0.689706894,0.734932625,0.772095982,0.816427228,0.846239223,0.878621501,,,,,,,,,,,,,,
14,0.068318623,0.075379622,0.082651572,0.094338607,0.101195728,0.11224459,0.129317924,0.146724333,0.16657984,0.179323916,0.207756902,0.225513409,0.250293337,0.275145872,0.304625742,0.337992735,0.361860267,0.397742449,0.434096497,0.47244084,0.515288415,0.557038726,0.602436105,0.643074215,0.689165949,0.735699207,0.778533274,0.812735753,0.854792545,0.880129094,0.908738057,,,,,,,,,,,,,,
15,0.076475461,0.084393017,0.092564338,0.105408901,0.113348551,0.12562018,0.144422659,0.163540507,0.185315092,0.199611028,0.230236006,0.249600002,0.276871193,0.303796618,0.3355477,0.371279292,0.396955102,0.434660499,0.4735345,0.513924105,0.557518883,0.600238364,0.646386225,0.686398297,0.731675509,0.776810127,0.816692106,0.847632351,0.886609024,0.907709068,0.932395283,,,,,,,,,,,,,,
16,0.084944268,0.093747373,0.102849152,0.116859982,0.125939782,0.139455022,0.159993893,0.180819698,0.204499573,0.220368872,0.253089193,0.274017768,0.303728431,0.33262404,0.366493213,0.404380078,0.431701467,0.470926967,0.511989614,0.554014185,0.597873245,0.641042366,0.687318483,0.726199745,0.770036923,0.813117535,0.849666968,0.877211378,0.912567386,0.929806304,0.950645008,,,,,,,,,,,,,,
17,0.093707781,0.103422456,0.113482372,0.12866378,0.138936104,0.15370995,0.175983813,0.19850493,0.224065208,0.241517771,0.276224953,0.298663845,0.330740646,0.361487174,0.39730334,0.437118016,0.465905443,0.506342029,0.54923851,0.592477552,0.63614939,0.679276139,0.725103232,0.76242852,0.80430555,0.844817235,0.877819549,0.901975283,0.933417126,0.947248113,0.964480332,,,,,,,,,,,,,,
18,0.102749317,0.113398657,0.124441034,0.140793151,0.152305036,0.168346829,0.192346097,0.216541288,0.243946756,0.262981308,0.299556756,0.323441513,0.357791554,0.390255588,0.42783307,0.46933453,0.499395755,0.540734337,0.585095586,0.629129055,0.672201109,0.714831473,0.759690075,0.795116975,0.834623545,0.872192214,0.901578296,0.922464046,0.949912686,0.960818846,0.974794327,,,,,,,,,,,,,,
19,0.112052706,0.123656943,0.135702794,0.153221802,0.166014901,0.183328529,0.209035885,0.234875883,0.264081773,0.284686354,0.323002999,0.348260144,0.384772997,0.418809364,0.45795121,0.500889214,0.532023295,0.573959916,0.619411262,0.663829049,0.705933158,0.747659031,0.791096462,0.824364743,0.861199193,0.895584763,0.921406844,0.939223897,0.962774095,0.97123218,0.98235916,,,,,,,,,,,,,,
20,0.121602249,0.134178798,0.147245884,0.165924246,0.180034794,0.198618904,0.226009756,0.253457832,0.284410594,0.306563107,0.346486964,0.373035148,0.411584937,0.447039037,0.487540186,0.531659385,0.563660462,0.605900859,0.652069915,0.696480037,0.737295962,0.77776058,0.819396269,0.850324284,0.884287977,0.915372137,0.937778316,0.95278372,0.972660777,0.979116086,0.987820629,,,,,,,,,,,,,,
21,0.131382678,0.144946196,0.15904908,0.178875757,0.194334579,0.214182787,0.243225726,0.272238252,0.304876328,0.328545133,0.369936781,0.397687918,0.438135414,0.474845479,0.516495771,0.561539507,0.59420033,0.636463834,0.682987523,0.727022946,0.76628013,0.805181213,0.844708729,0.873187469,0.904175788,0.931946143,0.951155391,0.963638448,0.98015656,0.985007601,0.991703365,,,,,,,,,,,,,,
