Design Life =~ ,80 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Design Temperature < ,20 deg C water temp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg ,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
shape parameter = ,1.9944,1.9965,1.9954,1.9844,1.9918,1.9878,1.9907,1.9859,1.9831,1.987,1.9854,1.9867,1.9878,1.999,1.9868,1.9904,1.9954,1.9962,1.9889,1.9919,1.9901,1.988,1.9944,1.9866,1.9931,1.9982,1.9938,1.973,1.9913,1.9834,1.9797
scale parameter = ,49.398,48.818,48.342,47.775,47.39,46.936,46.417,46.021,45.478,45.105,44.589,44.194,43.666,43.387,42.775,42.412,41.969,41.496,41.051,40.581,40.131,39.684,39.188,38.741,38.269,37.918,37.409,36.713,36.519,35.877,35.476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/Age [years],20 deg,21 deg,22 deg,23 deg,24 deg,25 deg,26 deg,27 deg,28 deg,29 deg,30 deg,31 deg,32 deg,33 deg,34 deg,35 deg,36 deg,37 deg,38 deg,39 deg,40 deg,41 deg,42 deg,43 deg,44 deg,45 deg,46 deg,47 deg,48 deg,49 deg,50 deg
13,0.067398588,0.068763779,0.070171138,0.07277774,0.073233438,0.0749662,0.076304711,0.078018256,0.080071553,0.080957618,0.082906527,0.084191873,0.086026592,0.085964398,0.089561023,0.09065007,0.091958528,0.093876977,0.096585631,0.098389611,0.100677983,0.103054945,0.104819307,0.107975287,0.109755697,0.111099044,0.114459557,0.120981896,0.1200278,0.124997195,0.128070343
14,0.077706401,0.079283202,0.080890035,0.083811142,0.084376982,0.086336453,0.087886197,0.08981647,0.092146253,0.093184677,0.095401602,0.096879101,0.098982717,0.098989599,0.103011594,0.10428095,0.105811522,0.108007453,0.111041635,0.113121995,0.115715999,0.118406767,0.120469421,0.123996067,0.126078223,0.127651676,0.131434921,0.138648223,0.13773921,0.143302759,0.146749926
15,0.088646538,0.090446746,0.092261616,0.095502684,0.096189896,0.098382889,0.100155779,0.102308013,0.104923575,0.106124378,0.108618988,0.110297757,0.112682204,0.112771981,0.117223946,0.118684225,0.120450579,0.122935262,0.126298904,0.128668721,0.131576851,0.134589463,0.136967641,0.140867222,0.143268241,0.145085041,0.149297603,0.157192475,0.15635426,0.162515411,0.166339581
16,0.100193419,0.10222782,0.10425825,0.107822872,0.108642248,0.111074277,0.113081123,0.115459246,0.118368253,0.119740642,0.122520998,0.124409021,0.127084604,0.127270862,0.132154499,0.133815204,0.135829627,0.138612486,0.142307198,0.144977659,0.148206219,0.15154642,0.154255204,0.158527134,0.161261846,0.163333453,0.167978513,0.176539914,0.175797777,0.18255493,0.186755852
17,0.112320325,0.114598641,0.116851095,0.120741051,0.121702865,0.124378144,0.126628594,0.12923525,0.132443733,0.133996039,0.137068571,0.139172661,0.142148011,0.142443946,0.147758167,0.149627619,0.151900918,0.154989483,0.159014627,0.161994958,0.165548058,0.169219306,0.172271495,0.176912444,0.179993257,0.182329243,0.187406643,0.196614285,0.195992697,0.203339383,0.207913665
18,0.124999501,0.127530346,0.130010206,0.134225532,0.135339449,0.13826091,0.140763395,0.143599968,0.147112327,0.148851944,0.15222145,0.154547212,0.157829247,0.15824753,0.163988567,0.166073848,0.168615268,0.172015146,0.176367914,0.179665321,0.183544896,0.187548389,0.190954396,0.195958411,0.199395207,0.20200317,0.207509496,0.217338276,0.216860562,0.224785651,0.229726882
19,0.138202257,0.140993093,0.143704655,0.1482437,0.149518709,0.152688016,0.155449711,0.158516353,0.162335362,0.164268706,0.167938349,0.170490161,0.174084064,0.174636708,0.180798238,0.183105145,0.185922302,0.189637163,0.194312671,0.197932307,0.202138141,0.206472855,0.21024063,0.215599271,0.21939933,0.222284836,0.228213535,0.238633968,0.238322007,0.246809947,0.252108844
20,0.151899071,0.154956182,0.157902645,0.162762147,0.164206492,0.167624063,0.170650847,0.173946517,0.178073347,0.18020581,0.184177129,0.18695813,0.190867337,0.191565586,0.19813886,0.200671868,0.203770704,0.207802278,0.212793666,0.216738612,0.221268389,0.225931131,0.230066109,0.235768602,0.239936557,0.243103097,0.24944461,0.26042328,0.260297245,0.269328339,0.274972911
21,0.166059698,0.169388164,0.172571634,0.177746787,0.179367912,0.183032948,0.186329384,0.189851881,0.194286123,0.196622051,0.200894984,0.203907062,0.208133264,0.208987491,0.215961474,0.218723716,0.222108461,0.226456557,0.2317551,0.236026361,0.240875724,0.245861206,0.250366281,0.256399676,0.260937495,0.264386477,0.271128391,0.282628412,0.282706543,0.292257243,0.29823298
22,0.180653279,0.184256961,0.187678453,0.193162988,0.194967485,0.198878001,0.202447321,0.206193331,0.210933031,0.213475695,0.218048608,0.221292411,0.225835566,0.226855182,0.234216702,0.237209958,0.240883114,0.245545645,0.25114087,0.2557374,0.260900022,0.266200945,0.27107647,0.27742581,0.282332806,0.286063561,0.293190786,0.305172267,0.305470686,0.315513916,0.321803988
